HITId,Input.orig_ad_url,Input.search,Input.work_from_home,Val1work_from_home,Val2work_from_home,Val3work_from_home,Chosen_work_from_home,All4Eq_work_from_home,Input.open_source,Val1open_source,Val2open_source,Val3open_source,Chosen_open_source,All4Eq_open_source,Input.startup,Val1startup,Val2startup,Val3startup,Chosen_startup,All4Eq_startup,Input.kegerator,Val1kegerator,Val2kegerator,Val3kegerator,Chosen_kegerator,All4Eq_kegerator,Input.bleeding_edge_tech,Val1bleeding_edge_tech,Val2bleeding_edge_tech,Val3bleeding_edge_tech,Chosen_bleeding_edge_tech,All4Eq_bleeding_edge_tech,Input.meaningful_jobs,Val1meaningful_jobs,Val2meaningful_jobs,Val3meaningful_jobs,Chosen_meaningful_jobs,All4Eq_meaningful_jobs,Input.relocation,Val1relocation,Val2relocation,Val3relocation,Chosen_relocation,All4Eq_relocation,Val1title,Val2title,Val3title,Chosen_title,Val1company,Val2company,Val3company,Chosen_company,Val1description,Val2description,Val3description,Chosen_description,Val1city,Val2city,Val3city,Chosen_city,Val1state,Val2state,Val3state,Chosen_state,Val1country_code,Val2country_code,Val3country_code,Chosen_country_code,Val1job_ad_url,Val2job_ad_url,Val3job_ad_url,Chosen_job_ad_url,NumRepeats
3PUV2Q8SV33763MSPJFAPH7BLPLDBZ,http://www.indeed.com/rc/clk?jk=c6a7aedf72f07e2e,work_from_home,on,on,,,,,"","",,,,,"","",,,,,"","",,,,,"","",,,,,"","",,,,,,"",,,,,Integration Engineer,,,,NICE Systems,,,,"Based in Redwood City or at a Remote location, this is a technical consulting role which involves direct interaction with customers to understand their business data and to design and implement creative solutions to integrate the data with the NICE Performance Management Application. Will deliver the technical aspects of product deployments for NICE Systems' customers.   Will also design and develop end-user functionality such as forms, workflows and reports for customer implementations. This position requires up to 50% domestic travel.

Key Responsibilities",,,,Remote,,,,n/a,,,,us,,,,http://hire.jobvite.com/CompanyJobs/Careers.aspx?c=qB09Vfwp&jvresize=http%3a%2f%2fwww.mercedsystems.com%2fgeneral%2fjobvite%2fjv.html&v=1&page=Job%20Description&j=onD7YfwP,,,,1
3Y3CZJSZ9JSZIXOO6AJHRKONQUQ5RW,http://www.indeed.com/rc/clk?jk=8e894a74ce8410ee,work_from_home,on,on,on,,,,"","","",,,,"","","",,,,"","","",,,,"","","",,,,"","","",,,,,"","",,,,Software Engineer,Software Engineer,,,Canonical,Canonical,,,"Work in the design, development and maintenance of client and server components of the services built around ubuntu.

    Ensure the reliability, scalability and availability of such services.

    Take responsibility for engineering delivery to spec, plan and quality required

    Use test-driven development, ensure code test coverage, add tests for untested code","Key Responsibilities

 

Work in the design, development and maintenance of client and server components of the services built around ubuntu.

Ensure the reliability, scalability and availability of such services.

Take responsibility for engineering delivery to spec, plan and quality required

Use test-driven development, ensure code test coverage, add tests for untested code

Provide reviews of code for other team members and contributors

Engage constructively with open source community around application or component",,,n/a,Remote,,,n/a,N/A,,,us,us,,,https://ch.tbe.taleo.net/CH03/ats/careers/requisition.jsp?org=CANONICAL&cws=1&rid=853,https://ch.tbe.taleo.net/CH03/ats/careers/requisition.jsp?org=CANONICAL&cws=1&rid=853,,,2
37SDSEDIN81UCA896EB5XDG1OMX815,http://www.indeed.com/rc/clk?jk=8de6a9fe9faafda3,work_from_home,on,on,on,,,,"","","",,,,"","","",,,,"","","",,,,"","","",,,,"","","",,,,,"","",,,,Quality Assurance Engineer,Quality Assurance Engineer,,,Verint Systems,Verint,,,"The QA Engineer will work with collaborate with team QA engineers, developers and integrators  to partner on specific site information, debug problems and   report new defects founds during the testing process.
Provide training and orientation of other team members and/or end users
- See more at: http://ch.tbe.taleo.net/CH02/ats/careers/requisition.jsp?org=VERINT&cws=1&rid=7866&source=Indeed#sthash.UP7yKXJJ.dpuf","Primary responsibilities:

The QA Engineer will work with collaborate with team QA engineers, developers and integrators  to partner on specific site information, debug problems and   report new defects founds during the testing process.
Provide training and orientation of other team members and/or end users
The QA Engineer is responsible for troubleshooting and servicing complex customer service inquiries for Verint's proprietary hardware/software product,   analyzing and evaluating technical issues and suggested methods and techniques to resolve them.
Maintain customer relationships, always keeping in mind that the customer is our first priority. 
Travel to customer sites to perform testing and troubleshooting
Minimum Requirements:

BS in Computer Science, Information Technology or related field or equivalent education and work experience.
3 years’ testing experience using software development life cycle with major focus on functional testing, usability testing and integration testing.
Understanding of quality assurance standards and procedures.
Ability to relocate for 1-2 years and travel abroad (25%)
Experience with databases, data warehousing, client/server applications, java applications, RT Embedded and end-user documentation.
- See more at: http://ch.tbe.taleo.net/CH02/ats/careers/requisition.jsp?org=VERINT&cws=1&rid=7866&source=Indeed#sthash.5oP24Q23.dpuf",,,Remote,Remote,,,n/a,N/A,,,us,us,,,http://ch.tbe.taleo.net/CH02/ats/careers/requisition.jsp?org=VERINT&cws=1&rid=7866&source=Indeed,http://ch.tbe.taleo.net/CH02/ats/careers/requisition.jsp?org=VERINT&cws=1&rid=7866&source=Indeed,,,2
3TC2K6WK9F111VQ5PIBJ2WQ6GSB82M,http://www.indeed.com/rc/clk?jk=114992d7d4d5d59b,work_from_home,on,on,on,,,,"","","",,,,"","","",,,,"","","",,,,"","","",,,,"","","",,,,,"","",,,,Senior Systems Engineer,"Senior Systems Engineer, Telecom",,,Citrix,Citrix,,,"Citrix is a leading provider of virtual computing solutions that help people work and play from anywhere, on any device. Innovation, creativity and a passion for ever-improving performance drive our company and our people forward. Citrix solutions pave the way for business to thrive in the cloud era, embracing mobile users, personal devices, wireless access, app stores, SaaS, and cloud infrastructure. We’re currently looking for a Senior Systems Engineer to join our ByteMobile sales team in Kansas City, KS.","The SE will team with Sales Account Directors to provide presentations and demonstrations focusing both technically and higher level for marketing, business and senior management level meetings with expectations of growing the business annually while managing the ongoing business.

The SE will assist in support of the regional opportunity pipeline to drive opportunities through the sales process from initial customer meetings to closure.

The SE role requires the ability to work in a team environment and to collaborate on the development of innovative tailored solutions for clients and prospects including end-2-end solution architecture and design.",,,Kansas City,Remote,,,KS,n/a,,,us,us,,,http://jobs.citrix.com/job/Remote-Senior-Systems-Engineer%2C-Telecom-OR-97458/69563900/?feedId=50800&utm_source=Indeed&utm_campaign=Citrix_Indeed,http://jobs.citrix.com/job/Remote-Senior-Systems-Engineer%2C-Telecom-OR-97458/69563900/?feedId=50800&utm_source=Indeed&utm_campaign=Citrix_Indeed,,,2
3PGQRAZX01J9L0YLW1OJSRRC71DYST,http://www.indeed.com/rc/clk?jk=28567b8910546236,work_from_home,on,on,on,,,,"","","",,,,"","","",,,,"","","",,,,"","","",,,,"","","",,,,,"","",,,,Asc Customer Service Engineer,Associate Customer Service Engineer,,,EMC,EMC,,,"The Associate Customer Engineer learns to perform preventative and remedial maintenance, installations, upgrades and implementations of EMC products at a variety of customer locations and environments. Works with an assigned mentor, team members, customers and direct managers to gain a full understanding of EMC products, culture and requirements to achieve high customer satisfaction. Adheres to administrative policies and escalation procedures. Typically, the Global Services Associate Program (GSAP) hires candidates locally and trains the Associate. Associates participate in a structured training program that combines intensive classroom, lab, assessment and on-the-job mentored experience. For technical associates, training includes hands-on work with EMC products and platforms, operating systems and storage infrastructure tools. Associates will also receive the foundation necessary to achieve technical certifications (EMC and Non-EMC).

PRINCIPAL DUTIES AND RESPONSIBILITIES

Learns to competently perform the major categories of work for this role. Gains exposure to proper procedures, communication protocol, and required case management, customer & time reporting systems, etc.

Performs pro-active and corrective maintenance according to established procedures. Level of supervision required is expected to decrease over 6-12 months. Adheres to proper escalation procedures. Refines and develops troubleshooting skills.

Learn to execute the basics of an install cycle for EMC hardware or software. Builds experience with hardware-related custom integration of EMC products at the customer site. This may include implementation, integration and product orientation for the customer. Implementation experience includes learning to create BIN file documentation and writing non-complex BIN files.

Responsible for part replacements as directed. This includes the timely and accurate submission of all associated documentation as well as part return within 24 hours of the event. Submits accurate documentation at the completion of an event.

Takes responsibility for customer satisfaction when dispatched to customer site by adhering to the following: prompt onsite arrival time, technical competencies, knowledge of customer environment, professionalism, periodic visits as needed

Maintains assigned inventory and test equipment.

Perform other duties as required and directed by Senior Customer Engineers and Management.

Works to regularly advance professional skills and capabilities in order to keep pace with technology and the customer environment. Stays current with development plans, participating in available forms of training, education and hands-on experience.

Is disciplined and timely in keeping up with administrative tasks, ensuring accurate updates to relevant systems, databases, time-reporting and filing activity, trip and/or site reports.

Skills (Technical and Soft Skills):

Basic OS, Networking and/or IT knowledge.

Strong analytical and problem solving skills

Clear/professional communications. Listens effectively, questions appropriately and conveys information clearly.

Displays a strong customer mindset, advocating for the customer within EMC and reinforcing EMC’s value to the customer.

Operates as a team player. Collaborates well cross-functionally.

Is self-managing and takes ownership

Attends to the details and follows-through on procedures.

Conveys a professional demeanor


Invests the time to master new technologies/products as needed.




Education Required: Associates degree in technical discipline or equivalent. EMC Proven Professional Storage Technology Foundation certification.

Experience Required: At least 0-2 years electronics/IT/IS knowledge or equivalent technical experience. Unix, Linux or Windows experience / knowledge plus TCP/IP networking experience preferred.

Physical/Other Requirements:

May be required to work overtime hours

May be required to work off-shift hours

Must have a valid driver’s license and reliable automobile

Must carry a mobile communication device

Lifting requirement:

Move/lift equipment (e.g., lift kit) weighing up to 25 lbs. to a height of up to 5 feet

· Move/lift equipment (e.g., batteries to be placed onto the lift kit) weighing up to 65 lbs. to a height of up to 2 feet","Learns to competently perform the major categories of work for this role. Gains exposure to proper procedures, communication protocol, and required case management, customer & time reporting systems, etc.




Performs pro-active and corrective maintenance according to established procedures. Level of supervision required is expected to decrease over 6-12 months. Adheres to proper escalation procedures. Refines and develops troubleshooting skills.




Learn to execute the basics of an install cycle for EMC hardware or software. Builds experience with hardware-related custom integration of EMC products at the customer site. This may include implementation, integration and product orientation for the customer. Implementation experience includes learning to create BIN file documentation and writing non-complex BIN files.




Responsible for part replacements as directed. This includes the timely and accurate submission of all associated documentation as well as part return within 24 hours of the event. Submits accurate documentation at the completion of an event.",,,Remote,"Home Based, Mobile",,,N/A,N/A,,,us,us,,,http://jobs.emc.com/us/united-states/new-graduate-%EF%B9%A0-internship/jobid5554497-asc-customer-service-engineer?apstr=%26codes%3D1-IJIND,http://jobs.emc.com/us/united-states/new-graduate-%EF%B9%A0-internship/jobid5554497-asc-customer-service-engineer?apstr=%26codes%3D1-IJIND,,,2
371DNNCG431VLUKI8XVF3JZWG5OT8Z,http://www.indeed.com/rc/clk?jk=5f9a08616fa927f3,work_from_home,on,on,on,,,,"","","",,,,"","","",,,,"","","",,,,"","","",,,,"","","",,,,,"","",,,,Zone Lead - Field Service Engineer,Zone Lead - Field Service Engineer,,,Smiths Detection,Smiths Detection,,,"•	Develops a strong and service driven culture within their team.
•	Provides detailed performance reviews, feedback, and coaching to their FSE’s; to include an annual performance review.
•	Reviews and approves vacation requests, expense reports, service reports, and time cards for their team weekly, ensuring both their accuracy, timeliness, and adherence to company policy.
•	Responsible for supervising daily service repair needs and driving customer satisfaction
•	Installs, repairs and maintains equipment in the field; provides customer training as required. 
•	Documents all inspections, maintenance, repair work and submits paperwork in a timely basis
•	Order, install, and return parts and manages repair parts cycle time
•	Reviews all logs for open issues and prepares formal reports to customers as necessary.
•	Participates in Service Sales opportunities and assists with promoting and implementing revenue programs.
•	Ensures that tools and test equipment are properly maintained and calibrated throughout their team
•	Assesses product/equipment performance based on field support data; recommends modifications or improvements.
•	Seeks to provide technical support to customers and other service professionals as required.
•	Participates in site surveys, pilot program service activities, attend meetings, champion special projects and prepare exclusive reports.
•	Maintains clear and concise business communication proficiency, both oral and written
•	Establishes and maintains a close relationship with other Lead FSE’s, Regional Managers, and the Scheduling Team in order to support the needs of the customer, region, and business.
•	Exercises every available measure to control and minimize costs of both self and FSE Team.
•	Travel, overtime and work hours other than Monday-Friday may be required.
•	Comply with and ensure department compliance with Company health, safety and environmental policies.
•	Comply with all applicable U.S. export control and security regulations.
•	Other duties as required.","As a Lead Field Service Engineer, this individual must be an effective team leader and be flexible, and able to actively seek to share information and assist his peers. Possesses excellent communication skills, both oral and written. Works directly with their Regional Manager and the Scheduling Team to ensure appropriate levels of support are consistently maintained. Conducts follow up calls with the customer to ensure satisfaction of work. Adjusts and balances work schedules of their assigned FSE’s.
Demonstrates strong electronic repair troubleshooting methodology and maintains an advanced technical level of product knowledge. Displays proficiency in servicing the Trace, X-Ray, and Cargo Inspection Systems product lines. Eagerness to work on and lead special projects, some of high visibility as assigned. Provides on the job training to new or crosstraining employees and provides appropriate feedback to management. Has a strong knowledge of business PC applications (MS Word, Excel & Power Point) and able to effectively use them to provide clear, concise information summaries and project updates as needed. Troubleshoots, services, installs (deploys) and repairs Trace, X-Ray, and Cargo Inspection System equipment at customer sites. Maintains field service log and filing system to properly initiate, organize and maintain all field service and job files until work is completed. Demonstrates initiative and dedication through positive use of downtime and an overall willingness and eagerness to consistently exceed customer and company requirements. 

SPECIFIC DUTIES, ACTIVITIES AND RESPONSIBILITIES INCLUDE BUT ARE NOT LIMITED TO:

•	Develops a strong and service driven culture within their team.
•	Provides detailed performance reviews, feedback, and coaching to their FSE’s; to include an annual performance review.
•	Reviews and approves vacation requests, expense reports, service reports, and time cards for their team weekly, ensuring both their accuracy, timeliness, and adherence to company policy.
•	Responsible for supervising daily service repair needs and driving customer satisfaction
•	Installs, repairs and maintains equipment in the field; provides customer training as required. 
•	Documents all inspections, maintenance, repair work and submits paperwork in a timely basis
•	Order, install, and return parts and manages repair parts cycle time
•	Reviews all logs for open issues and prepares formal reports to customers as necessary.
•	Participates in Service Sales opportunities and assists with promoting and implementing revenue programs.
•	Ensures that tools and test equipment are properly maintained and calibrated throughout their team
•	Assesses product/equipment performance based on field support data; recommends modifications or improvements.
•	Seeks to provide technical support to customers and other service professionals as required.
•	Participates in site surveys, pilot program service activities, attend meetings, champion special projects and prepare exclusive reports.
•	Maintains clear and concise business communication proficiency, both oral and written
•	Establishes and maintains a close relationship with other Lead FSE’s, Regional Managers, and the Scheduling Team in order to support the needs of the customer, region, and business.
•	Exercises every available measure to control and minimize costs of both self and FSE Team.
•	Travel, overtime and work hours other than Monday-Friday may be required.
•	Comply with and ensure department compliance with Company health, safety and environmental policies.
•	Comply with all applicable U.S. export control and security regulations.
•	Other duties as required.




Requirements	

POSITION REQUIREMENTS:

Education/Training:	Engineering degree in related field (industrial, electrical, electronic, mechanical). Equivalence achieved through comparative work and life experience is acceptable (>10 years work experience in a related electrical or mechanical field service role).
Preferably including certification in networking or systems integration (A+, CCNA, or similar)
Computer literacy: competency in use of all programs within MS Office Suite and aptitude for learning specialized software programs.

Experience:	Minimum of 2 years in a supervisory role involving remote employees. Minimum of 8 years experience directly involved in troubleshooting and field repair of advanced/integrated electrical and electronic systems and equipment (Medical Products Service, Industrial Process Controls, Avionics, Communications)


Knowledge/Skills:	Individuals shall possess excellent communications skills and have a strong orientation for customer focus and teamwork. Must be responsive to all customer issues at all times. Must be willing & able to travel at short notice.

Supervises:	Supervises and leads a high performance team of Field Service Engineers. Must be capable of directly leading a team of up to 8 Field Service Engineers (Remote employees)

Background:	Must be able to pass an in depth background check (vetting).


PHYSICAL/MENTAL REQUIREMENTS:

•	Possess excellent organizational, communication, interpersonal skills with the ability to multi task several projects at once.
•	Excellent customer service skills and the ability to handle stressful situations.
•	Self-motivated, reliable, and accountable individual
•	Possess excellent telephone skills 
•	Ability to lift item up to 50 lbs. unassisted


WORK ENVIRONMENT:

Work environment is typically considered to be off-site, wherever the customer of concern is located. Service will typically be rendered at airports, correctional facilities, courthouses, cruise ships or other locations as required.

Must be eligible for a US security clearance. Smiths Detection is an equal opportunity employer.",,,Remote,Remote,,,N//A,N/A,,,us,us,,,http://www.smithsdetectioncareers.com/na/index.php?p=viewjob&job_id=2941,http://www.smithsdetectioncareers.com/na/index.php?p=viewjob&job_id=2941,,,2
3NSM4HLQNQTOZISMDNIKK599Q4BQQT,http://www.indeed.com/rc/clk?jk=26890f889ea8015a,bleeding_edge_tech,"","","",,,,"","","",,,,"","","",,,,"","","",,,,on,on,on,,,,"","","",,,,,"","",,,,Senior Lead Software Developer,Senior Lead Software Developer,,,Vistaprint,Vistaprint,,,"To be successful, you will need:
BS/MS in Computer Science or equivalent
6+ years of experience with Object-oriented programming
Fluency in C#, C++, or Java
Hands-on experience designing and implementing high volume Service Oriented Architectures (SOA)
Strong expertise with web software (DHTML, JavaScript, XML, JSON)
Development experience with SQL-based RDBMS (e.g., Microsoft SQL Server, MySQL) or NoSQL databases (e.g., Couchbase, MongoDB, Cassandra)
Industry experience with more than one programming language
Proven ability to deliver results in a fast-paced, cross-functional environment
Strong communication ability to lead technical and non-technical interactions with peers and partners across multiple teams and functions","As a Senior Lead Software Engineer on the Product team, you will join a unique and cross-functional team, focused on developing the core product services, technologies, and tools that enable Vistaprint to introduce new products and connect our multiple customer-facing properties worldwide with our expanding global network of highly automated manufacturing facilities.
 
Our software engineers are self-motivated developers, who are comfortable working across our full technology stack, designing APIs, creating service logic and improving our processes to build robust and scalable systems that enable new product introduction. The nature of our work requires that we continuously expand our skills and learn about new domains, technologies, and platforms.
 
To be successful, you will need:
BS/MS in Computer Science or equivalent
6+ years of experience with Object-oriented programming
Fluency in C#, C++, or Java
Hands-on experience designing and implementing high volume Service Oriented Architectures (SOA)
Strong expertise with web software (DHTML, JavaScript, XML, JSON)
Development experience with SQL-based RDBMS (e.g., Microsoft SQL Server, MySQL) or NoSQL databases (e.g., Couchbase, MongoDB, Cassandra)
Industry experience with more than one programming language
Proven ability to deliver results in a fast-paced, cross-functional environment
Strong communication ability to lead technical and non-technical interactions with peers and partners across multiple teams and function",,,Lexington,Lexington,,,MA,MA,,,us,us,,,http://careers.vistaprint.com/lexington/technology/senior-lead-software-developer/11037?mode=job&iis=Job+Board+Posting&iisn=Indeed+posting,http://careers.vistaprint.com/lexington/technology/senior-lead-software-developer/11037?mode=job&iis=Job+Board+Posting&iisn=Indeed+posting,,,2
302U8RURJY0V1TBBJUKDMYDC2L3NVX,http://www.indeed.com/rc/clk?jk=bea7891fa2e3e66a,bleeding_edge_tech,"","",,,,,"","",,,,,"","",,,,,"","",,,,,on,on,,,,,"","",,,,,,"",,,,,Senior Web Developer,,,,Jobvite,,,,"Build fast, secure, beautiful and scalable web apps
Visualize large amounts of behavioral user data
Optimize the retrieval and aggregation of massive datasets
Use modern web technologies to reinvent CRM dashboards
And as always, debug hard problems",,,,San Francisco,,,,CA,,,,us,,,,http://hire.jobvite.com/CompanyJobs/Careers.aspx?c=q5y9Vfwr&jvresize=http%3a%2f%2fwww.doubledutch.me%2fjs%2fjobvite.html&page=Job%20Description&j=oGNYXfw8,,,,1
3JAOYN9IHK14LGGIH1USUPNN6KJ330,http://www.indeed.com/rc/clk?jk=9f23ab95b28468b9,bleeding_edge_tech,"","","",,,,"","","",,,,"","","",,,,"","","",,,,on,on,on,,,,"","","",,,,,"","",,,,Tick Data Programmer / C++ or Kdb,Tick Data Programmer / C++ or Kdb,,,Connections of New York,Connections of New York,,,"This team is a newly formed group in whose mission is to provide support to application developers working with q and kdb+. We are creating an internal consulting group to augment the internal training efforts with a goal is of achieving a superior level of developer expertise in q programming and kdb+ design and implementation.

The team will report to a recently appointed Q subject matter expert, who oversees the Functional Programming Center of Excellence. 

Role: The initial staffing level of the team will comprise one professional each in New York and London; the requirements for the two are identical. (We anticipate that the group will grow over time as the use of q/kdb+ expands.) These individuals will serve as internal consultants for q/kdb+ application development across various business areas. The individuals will be assigned to projects as part of the Pioneer project management process. While the tasks involved will vary from project to project, the following are typical:

- Work with business users and developers to determine the suitability of q/kdb+ to the project
- Work with developers and members of infrastructure and support groups to determine a practicable hardware architecture for the project
- Work with developers to architect the software design
- Demonstrate programming techniques and best practices
- Answer q/kdb+ questions on the internal lists/boards
- Perform code reviews
- Work with developers to tune application performance
Requirements:	
Required Skills: 
The successful candidate will have a successful record of accomplishment applying q/kdb+ to business problems in the financial sector. This would include:

- Financial application delivery using q version 2.3 or later in kdb+
- Experience with the kdb+ Tick architecture (Experience writing feed handlers for Tick strongly preferred but not required)
- Experience interfacing q/kdb+ to other languages (C++, C# and Perl preferred)
- Working familiarity with SQL and an RDBMS (SQL Server, Oracle, DB2 preferred)
- Extensive application development in at least one of the following: C++, Java or C# (preferred). 

Soft skills needed :

- Comfortable working as part of an international technology support team
- Able to interface with, and assess the needs of the traders, salespeople and other business experts who are often under extreme pressure
- Able to deliver tactical results quickly as part of a strategic design that allows longer-term flexibility and scalability
- A self starter, requiring minimal management handholding; knows when to escalate issues
- Able to switch business and project contexts fluidly
- Able to find new solution to existing problems.
- Excellent technical communication skills. Able to transfer abstract concepts without making the listener feel stupid. 
- Able to train/teach technical material a big plus 
Skills Desired In addition to the required skills, the following technical skills would enhance a candidate?s initial productivity in the role:

- Experience writing extensions to the Tick architecture (e.g., security enhancements, statistical or financial calculation libraries, framework for real-time calculations)
- Development experience in k (k3 or k4 preferred)
- Substantial experience in .NET application development (C# preferred)
- Experience with functional programming (F# or OCAML preferred; Haskell or Erlang OK)","Required Skills: 
The successful candidate will have a successful record of accomplishment applying q/kdb+ to business problems in the financial sector. This would include:

- Financial application delivery using q version 2.3 or later in kdb+
- Experience with the kdb+ Tick architecture (Experience writing feed handlers for Tick strongly preferred but not required)
- Experience interfacing q/kdb+ to other languages (C++, C# and Perl preferred)
- Working familiarity with SQL and an RDBMS (SQL Server, Oracle, DB2 preferred)
- Extensive application development in at least one of the following: C++, Java or C# (preferred).",,,NEW YORK,New York,,,NY,NY,,,us,us,,,http://www.connectionsny.com/search/details/job_id/1306,http://www.connectionsny.com/search/details/job_id/1306,,,2
3LB1BGHFL1VA00B0L1T92WNY9KRYTI,http://www.indeed.com/rc/clk?jk=eec5b8ba7d78296d,bleeding_edge_tech,"","",,,,,"","",,,,,"","",,,,,"","",,,,,on,on,,,,,"","",,,,,,"",,,,,N/A,,,,N/A,,,,N/A - The job requested is no longer available,,,,N/A,,,,N/A,,,,not-selected,,,,http://www.jobserve.com/WAAB74F707974DF5E.jsjob?utm_source=feed&utm_medium=20140618&utm_campaign=Indeed&utm_source=Indeed&utm_medium=organic&utm_campaign=Indeed,,,,1
3VZYA8PITNXBI34PCX027ON0H4Q05S,http://www.indeed.com/rc/clk?jk=4f4425dfd3780260,bleeding_edge_tech,"","","",,,,"","","",,,,"","","",,,,"","","",,,,on,on,on,,,,"","","",,,,,"","",,,,Senior .NET Developer,Senior .NET Developer,,,Accion Labs,Accion labs,,,"1) Accion Labs has been listed in the Top 20 Big Data Service Providers by CIO Review Magazine
2) Excellent benefits, we pay biweekly.
3) Direct client requirements.","Primary Skills : MUST HAVE EXP. WITH- MVC, MVVM, Knockout
Description :
A leading health-care technology firm in Pittsburgh, PA is looking to expand its engineering team with a number of Sr .Net resources with the following skills:
- 5-10 yrs of IT, 2-6+ yrs of .Net/C#
- Strong Web development and design experience
- Experience developing rich-client apps using a Javascript toolkit like jQuery
- Experience of building Web Services using WCF
- Experience of T-SQL and database development
- Experience of OOAD, database design will be a plus
- Experience of Microsoft's MVC and Entity framework
- Strong Agile/Scrum experience",,,Pittsburgh,Pittsburgh,,,PA,PA,,,us,us,,,http://www.dice.com/jobsearch/servlet/JobSearch;MERCURYDCSP=5NtwThRLq9HCxH3vxvMvpjgyvj5z1BBd4n3yYbQPQs8rvNcBBv2S!84663579?op=302&dockey=xml/9/a/9ade562d602ca84dfd41aafe8d6fda4a@endecaindex&source=20&FREE_TEXT=&rating=&c=1&src=20&utm_source=Indeed&utm_medium=Aggregator&utm_content=&utm_campaign=Advocacy_Ongoing&rx_source=Indeed&rx_campaign=Indeed25&rx_group=85&CMPID=AG_IN_UP_JS_AV_OG_RC_,http://www.dice.com/jobsearch/servlet/JobSearch;MERCURYDCSP=GQwTTvnL2yhhTCZqL706MhSv4jQDyFqwnjKtWnwrjLn11LsQbq37!1321947873?op=302&dockey=xml/9/a/9ade562d602ca84dfd41aafe8d6fda4a@endecaindex&source=20&FREE_TEXT=&rating=&c=1&src=20&utm_source=Indeed&utm_medium=Aggregator&utm_content=&utm_campaign=Advocacy_Ongoing&rx_source=Indeed&rx_campaign=Indeed25&rx_group=85&CMPID=AG_IN_UP_JS_AV_OG_RC_,,,2
3CESM1J3EH209X5OAN3S6PA4E4GW66,http://www.indeed.com/rc/clk?jk=a269227b164c1654,bleeding_edge_tech,"","","",,,,"","","",,,,"","","",,,,"","","",,,,on,on,on,,,,"","","",,,,,"","",,,,Big Data Platform Engineer,Big Data Platform Engineer,,,Huawei,Huawei,,,"Desired Skills & Experience

          5+ years experience in data management, data processing or data analytics;
          Strong Java and Object-Oriented programming skills, Scala a plus;
          Experience in Spark, committers preferred;
          Experience with Hadoop SQL engine like Hive/Shark a big plus;
          Experience with machine learning/algorithms development a big plus;
          Knowledge of Hadoop ecosystem, capabilities, use cases, and design principles;
          Large-scale distributed computing expertise;
          Strong communication skills and team work experience;
          Experience of distributed system capacity planning and performance tuning a plus;","Big Data Platform Engineer (Santa Clara, CA) Contract to possible employee role.

 

Huawei USA R&D Center is looking for a highly qualified engineer talent to join our growing team at Software Lab and build up big data vertical solutions. This is a hands on developer role and the person will work on a variety of new software technologies, including Hadoop, Shark/Spark, machine learning/algorithms, data visualization,  and get end-to-end exposure to the mobile industry. You must be from a technology company not a bank, medical, car, insurance or any other non technology as their primary product company. 

 

It is an exciting time to join Software Lab at Huawei USA R&D Center, as we act as a start-up to explore innovative business ideas and disruptive technologies, such as real time analytics, parallelizing computing, big data and cloud/SaaS apps, while we can leverage unparalleled resource rooted at thousands of global engineers, giving us the speed, agility and broadest space to translate innovative ideas into commercial products. 

Responsibilities:

 

          Responsible for the full lifecycle of Huawei’s next generation big data platform;

          Leadership role in adopting, optimizing, productization of Hadoop/BDAS modules critical for Huawei’s business goals;

          Participation in evaluations of, POCs on, and, ultimately, selections from,  alternative technologies that will best suite customer  requirements;

          Collaboration with partners to drive joint development efforts;

 

Desired Skills & Experience

          5+ years experience in data management, data processing or data analytics;
          Strong Java and Object-Oriented programming skills, Scala a plus;
          Experience in Spark, committers preferred;
          Experience with Hadoop SQL engine like Hive/Shark a big plus;
          Experience with machine learning/algorithms development a big plus;
          Knowledge of Hadoop ecosystem, capabilities, use cases, and design principles;
          Large-scale distributed computing expertise;
          Strong communication skills and team work experience;
          Experience of distributed system capacity planning and performance tuning a plus;
Company Description

Huawei's vision is to enrich life through communication. Through continuous customer-centric innovation, we have established end-to-end advantages in Telecom Network Infrastructure, Application & Software, Professional Services and Devices. Our products and solutions have been deployed in over 100 countries and have served 45 of the world's top 50 telecom operators, as well as one third of the world's population.  And as a leading telecom solutions provider, we value the Customer First, Dedication, Continuous Improvement, Openness & Initiative, Integrity, and Teamwork. Our employees drive our vision and make our success possible.",,,Santa Clara,Santa Clara,,,CA,CA,,,us,us,,,http://ch.tbe.taleo.net/CH06/ats/careers/requisition.jsp?org=FUTUREWEITECH&cws=1&rid=5282&source=Indeed.com,http://ch.tbe.taleo.net/CH06/ats/careers/requisition.jsp?org=FUTUREWEITECH&cws=1&rid=5282&source=Indeed.com,,,2
